ecart_date,action,label,count
277,signature_mandat_sepa,,1
85,contact,,1
280,rgpd_rapport_utilisateur,,1
313,rgpd_rapport_utilisateur,,1
118,signature_mandat_sepa,,1
125,netatmo-synchronisation,,1
249,netatmo-synchronisation,,1
55,netatmo-synchronisation,,1
223,netatmo-synchronisation,,1
93,contact,,1
306,signature_cpv,,1
252,contact,,1
46,ajustement_mensualites,,1
239,ajustement_mensualites,,1
200,contact,,1
390,cap_eco_conso-inscription,,1
382,rgpd_rapport_utilisateur,,1
296,signature_mandat_sepa,,1
302,netatmo-synchronisation,,1
25,ajustement_mensualites,,1
147,signature_cpv,,1
254,netatmo-synchronisation,,1
126,signature_mandat_sepa,,1
266,netatmo-synchronisation,,1
-22,signature_cpv,,1
225,rgpd_rapport_utilisateur,,1
165,ajustement_mensualites,,1
230,netatmo-synchronisation,,1
349,netatmo-synchronisation,,1
266,rgpd_rapport_utilisateur,,1
172,contact,,1
308,contact,,1
156,ajustement_mensualites,,1
218,contact,,1
289,ajustement_mensualites_confirmation,,1
191,contact,,1
354,ajustement_mensualites_confirmation,,1
386,contact,,1
173,signature_mandat_sepa,,1
199,netatmo-synchronisation,,1
123,ajustement_mensualites,,1
58,ajustement_mensualites,,1
189,signature_mandat_sepa,,1
178,ajustement_mensualites,,1
221,signature_mandat_sepa,,1
301,signature_mandat_sepa,,1
354,contact,,1
51,netatmo-synchronisation,,1
288,netatmo-synchronisation,,1
58,netatmo-synchronisation,,1
100,contact,,1
166,netatmo-synchronisation,,1
145,completion_questionnaire,,1
107,rgpd_rapport_utilisateur,,1
272,netatmo-synchronisation,,1
76,ajustement_mensualites,,1
161,rgpd_rapport_utilisateur,,1
144,netatmo-synchronisation,,1
386,rgpd_rapport_utilisateur,,1
383,cap_eco_conso-inscription,,1
380,signature_mandat_sepa,,1
372,signature_mandat_sepa,,1
30,contact,,1
85,signature_mandat_sepa,,1
211,signature_mandat_sepa,,1
276,ajustement_mensualites,,1
288,ajustement_mensualites_confirmation,,1
388,signature_cpv,,1
326,contact,,1
82,netatmo-synchronisation,,1
-16,signature_cpv,,1
375,rgpd_rapport_utilisateur,,1
202,signature_mandat_sepa,,1
134,signature_mandat_sepa,,1
196,ajustement_mensualites,,1
161,contact,,1
345,signature_mandat_sepa,,1
228,rgpd_rapport_utilisateur,,1
163,netatmo-synchronisation,,1
108,netatmo-synchronisation,,1
376,signature_mandat_sepa,,1
334,signature_mandat_sepa,,1
249,contact,,1
-20,signature_cpv,,1
182,contact,,1
379,contact,,1
42,netatmo-synchronisation,,1
158,contact,,1
375,ajustement_mensualites_confirmation,,1
344,signature_cpv,,1
63,netatmo-synchronisation,,1
104,netatmo-synchronisation,,1
219,ajustement_mensualites,,1
1,signature_cpv,,1
247,ajustement_mensualites,,1
97,contact,,1
139,ajustement_mensualites,,1
-21,ajustement_mensualites,,1
231,signature_mandat_sepa,,1
193,signature_mandat_sepa,,1
70,signature_mandat_sepa,,1
244,contact,,1
79,contact,,1
248,ajustement_mensualites,,1
226,contact,,1
74,signature_cpv,,1
42,netatmo-suppression,,1
21,ajustement_mensualites,,1
69,contact,,1
328,contact,,1
310,contact,,1
120,signature_cpv,,1
56,ajustement_mensualites,,1
119,signature_mandat_sepa,,1
211,contact,,1
-13,saisie_d_index,,1
356,netatmo-suppression,,1
107,signature_mandat_sepa,,1
306,rgpd_rapport_utilisateur,,1
257,contact,,1
393,rgpd_rapport_utilisateur,,1
8,signature_cpv,,1
194,ajustement_mensualites,,1
245,signature_mandat_sepa,,1
82,signature_mandat_sepa,,1
177,signature_cpv,,1
267,netatmo-synchronisation,,1
378,rgpd_rapport_utilisateur,,1
72,contact,,1
348,contact,,1
359,signature_mandat_sepa,,1
146,netatmo-synchronisation,,1
334,netatmo-synchronisation,,1
340,rgpd_rapport_utilisateur,,1
326,ajustement_mensualites_confirmation,,1
159,ajustement_mensualites,,1
19,ajustement_mensualites,,1
138,netatmo-synchronisation,,1
-13,signature_cpv,,1
326,netatmo-synchronisation,,1
377,signature_mandat_sepa,,1
206,ajustement_mensualites,,1
391,signature_mandat_sepa,,1
174,signature_mandat_sepa,,1
-6,signature_cpv,,1
258,rgpd_rapport_utilisateur,,1
219,netatmo-synchronisation,,1
315,contact,,1
96,signature_mandat_sepa,,1
113,netatmo-synchronisation,,1
82,contact,,1
392,ajustement_mensualites_confirmation,,1
101,contact,,1
132,signature_mandat_sepa,,1
210,ajustement_mensualites,,1
385,ajustement_mensualites_confirmation,,1
306,ajustement_mensualites_confirmation,,1
347,netatmo-suppression,,1
92,signature_cpv,,1
261,netatmo-synchronisation,,1
200,rgpd_rapport_utilisateur,,1
160,contact,,1
68,netatmo-synchronisation,,1
-7,contact,,1
196,contact,,1
293,signature_mandat_sepa,,1
48,contact,,1
170,ajustement_mensualites,,1
60,rgpd_rapport_utilisateur,,1
204,signature_mandat_sepa,,1
224,rgpd_rapport_utilisateur,,1
348,netatmo-suppression,,1
246,netatmo-synchronisation,,1
240,netatmo-synchronisation,,1
293,ajustement_mensualites_confirmation,,1
322,rgpd_rapport_utilisateur,,1
11,ajustement_mensualites,,1
100,signature_mandat_sepa,,1
23,ajustement_mensualites,,1
204,netatmo-synchronisation,,1
175,contact,,1
-12,signature_cpv,,1
173,ajustement_mensualites,,1
385,rgpd_rapport_utilisateur,,1
13,signature_cpv,,1
379,ajustement_mensualites_confirmation,,1
59,netatmo-suppression,,1
176,rgpd_rapport_utilisateur,,1
381,rgpd_rapport_utilisateur,,1
159,contact,,1
304,signature_mandat_sepa,,1
330,rgpd_rapport_utilisateur,,1
167,netatmo-suppression,,1
311,netatmo-suppression,,1
246,signature_mandat_sepa,,1
205,signature_mandat_sepa,,1
261,netatmo-suppression,,1
269,signature_mandat_sepa,,1
190,signature_mandat_sepa,,1
338,netatmo-synchronisation,,1
289,netatmo-synchronisation,,1
-12,contact,,1
306,ajustement_mensualites,,1
-24,contact,,1
175,signature_mandat_sepa,,1
185,netatmo-synchronisation,,1
7,ajustement_mensualites,,1
350,signature_cpv,,1
